time: 2015-04-26 17:40:46, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-04-26 17:45:55, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: neutral
time: 2015-04-26 17:49:40, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-04-26 17:49:49, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-04-26 17:49:54, pleasant_state: neutral, energy_state: slightly_energetic, stress_state: neutral
time: 2015-04-26 17:50:04, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-04-27 02:28:51, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: neutral
time: 2015-04-27 02:28:52, pleasant_state: , energy_state: , stress_state: 
time: 2015-04-27 03:59:49, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-04-27 11:07:15, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-04-27 11:37:37, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-04-27 12:07:58, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-04-27 12:38:18, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-04-27 13:54:43, pleasant_state: neutral, energy_state: neutral, stress_state: feeling_good
time: 2015-04-27 14:25:00, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-04-27 14:55:21, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-04-27 15:39:20, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-04-27 16:09:36, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-04-27 16:28:12, pleasant_state: very_pleasant, energy_state: neutral, stress_state: neutral
time: 2015-04-27 19:16:58, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-04-27 19:47:14, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-04-27 20:17:35, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-04-28 01:10:37, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-04-28 07:48:01, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-04-28 12:04:06, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: neutral
time: 2015-04-28 12:35:34, pleasant_state: neutral, energy_state: slightly_low_energy, stress_state: neutral
time: 2015-04-28 13:15:04, pleasant_state: neutral, energy_state: slightly_low_energy, stress_state: neutral
time: 2015-04-28 14:57:26, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-04-28 15:27:47, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-04-28 15:58:09, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-04-28 16:31:11, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-04-28 17:52:15, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-04-28 21:46:49, pleasant_state: very_pleasant, energy_state: very_energetic, stress_state: neutral
time: 2015-04-28 22:17:07, pleasant_state: very_pleasant, energy_state: very_energetic, stress_state: neutral
time: 2015-04-28 23:17:52, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-04-29 00:18:33, pleasant_state: slightly_unpleasant, energy_state: very_low_energy, stress_state: very_stressed
time: 2015-04-29 13:26:13, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-04-29 15:37:58, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-04-29 19:26:11, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-04-29 20:35:26, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-04-29 21:05:48, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-04-29 22:37:05, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-04-29 22:53:52, pleasant_state: slightly_unpleasant, energy_state: neutral, stress_state: slightly_stressed
